"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","FittingId__c"
"a030900000RApd0AAD","0050900000BeQn7AAF","0","Too Small","2023-04-15 21:54:46","0050900000BeQn7AAF","2023-04-15 21:54:46","0050900000BeQn7AAF","2023-04-15 21:54:46","","1"
"a030900000RApd5AAD","0050900000BeQn7AAF","0","A Little Small","2023-04-15 21:55:58","0050900000BeQn7AAF","2023-04-15 21:55:58","0050900000BeQn7AAF","2023-04-15 21:55:58","","2"
"a030900000RApdAAAT","0050900000BeQn7AAF","0","True To Size","2023-04-15 21:56:05","0050900000BeQn7AAF","2023-04-15 21:56:05","0050900000BeQn7AAF","2023-04-15 21:56:05","","3"
"a030900000RApdBAAT","0050900000BeQn7AAF","0","A Little Big","2023-04-15 21:56:28","0050900000BeQn7AAF","2023-04-15 21:56:28","0050900000BeQn7AAF","2023-04-15 21:56:28","","4"
"a030900000RApdFAAT","0050900000BeQn7AAF","0","Too Big","2023-04-15 21:56:37","0050900000BeQn7AAF","2023-04-15 21:56:37","0050900000BeQn7AAF","2023-04-15 21:56:37","","5"
